Date,District,Vegetable,Sales (kg)
1/3/24,Colombo,Pumpkins,110700
1/3/24,Colombo,Spinach,214200
1/3/24,Kandy,Carrots,181800
1/3/24,Kandy,Beans,138000
1/3/24,Kandy,Cabbage,280200
1/3/24,Kandy,Tomatoes,257400
1/3/24,Kandy,Potatoes,107400
1/3/24,Kandy,Brinjals,223800
1/3/24,Kandy,Pumpkins,138600
1/3/24,Kandy,Spinach,37800
1/3/24,Batticaloa,Carrots,52250
1/3/24,Batticaloa,Beans,93000
1/3/24,Batticaloa,Cabbage,70250
1/3/24,Batticaloa,Tomatoes,83750
1/3/24,Batticaloa,Potatoes,86000
1/3/24,Batticaloa,Brinjals,92500
1/3/24,Batticaloa,Pumpkins,124000
1/3/24,Batticaloa,Spinach,116000
1/3/24,Jaffna,Carrots,63250
1/3/24,Jaffna,Beans,99000
1/3/24,Jaffna,Cabbage,59250
1/3/24,Jaffna,Tomatoes,117250
1/3/24,Jaffna,Potatoes,97500
1/3/24,Jaffna,Brinjals,81750
1/3/24,Jaffna,Pumpkins,117500
1/3/24,Jaffna,Spinach,22250
1/4/24,Colombo,Carrots,318600
1/4/24,Colombo,Beans,328500
1/4/24,Colombo,Cabbage,341100
1/4/24,Colombo,Tomatoes,222300
1/4/24,Colombo,Potatoes,306000
1/4/24,Colombo,Brinjals,109800
1/4/24,Colombo,Pumpkins,153900
1/4/24,Colombo,Spinach,327600
1/4/24,Kandy,Carrots,232200
1/4/24,Kandy,Beans,69000
1/4/24,Kandy,Cabbage,149400
1/4/24,Kandy,Tomatoes,79800
1/4/24,Kandy,Potatoes,114600
1/4/24,Kandy,Brinjals,117600
1/4/24,Kandy,Pumpkins,219000
1/4/24,Kandy,Spinach,110400
1/4/24,Batticaloa,Carrots,87250
1/4/24,Batticaloa,Beans,68000
1/4/24,Batticaloa,Cabbage,66750
1/4/24,Batticaloa,Tomatoes,47750
1/4/24,Batticaloa,Potatoes,123750
1/4/24,Batticaloa,Brinjals,24000
1/4/24,Batticaloa,Pumpkins,69000
1/4/24,Batticaloa,Spinach,96000
1/4/24,Jaffna,Carrots,53750
1/4/24,Jaffna,Beans,113000
1/4/24,Jaffna,Cabbage,14250
1/4/24,Jaffna,Tomatoes,67500
1/4/24,Jaffna,Potatoes,64250
1/4/24,Jaffna,Brinjals,72000
1/4/24,Jaffna,Pumpkins,103750
1/4/24,Jaffna,Spinach,54000
1/5/24,Colombo,Carrots,449100
1/5/24,Colombo,Beans,212400
1/5/24,Colombo,Cabbage,419400
1/5/24,Colombo,Tomatoes,239400
1/5/24,Colombo,Potatoes,291600
1/5/24,Colombo,Brinjals,334800
1/5/24,Colombo,Pumpkins,73800
1/5/24,Colombo,Spinach,438300
1/5/24,Kandy,Carrots,71400
1/5/24,Kandy,Beans,73200
1/5/24,Kandy,Cabbage,193800
1/5/24,Kandy,Tomatoes,225600
1/5/24,Kandy,Potatoes,293400
1/5/24,Kandy,Brinjals,177600
1/5/24,Kandy,Pumpkins,92400
1/5/24,Kandy,Spinach,246000
1/5/24,Batticaloa,Carrots,19500
1/5/24,Batticaloa,Beans,114500
1/5/24,Batticaloa,Cabbage,116500
1/5/24,Batticaloa,Tomatoes,51000
1/5/24,Batticaloa,Potatoes,31000
1/5/24,Batticaloa,Brinjals,37750
1/5/24,Batticaloa,Pumpkins,79000
1/5/24,Batticaloa,Spinach,104500
1/5/24,Jaffna,Carrots,25750
1/5/24,Jaffna,Beans,90750
1/5/24,Jaffna,Cabbage,86750
1/5/24,Jaffna,Tomatoes,73500
1/5/24,Jaffna,Potatoes,117500
1/5/24,Jaffna,Brinjals,103750
1/5/24,Jaffna,Pumpkins,124000
1/5/24,Jaffna,Spinach,44750
1/6/24,Colombo,Carrots,353700
1/6/24,Colombo,Beans,92700
1/6/24,Colombo,Cabbage,350100
1/6/24,Colombo,Tomatoes,300600
1/6/24,Colombo,Potatoes,70200
1/6/24,Colombo,Brinjals,343800
1/6/24,Colombo,Pumpkins,212400
1/6/24,Colombo,Spinach,63000
1/6/24,Kandy,Carrots,79800
1/6/24,Kandy,Beans,276600
1/6/24,Kandy,Cabbage,181200
1/6/24,Kandy,Tomatoes,118200
1/6/24,Kandy,Potatoes,185400
1/6/24,Kandy,Brinjals,249000
1/6/24,Kandy,Pumpkins,132600
1/6/24,Kandy,Spinach,234600
1/6/24,Batticaloa,Carrots,36000
1/6/24,Batticaloa,Beans,50750
1/6/24,Batticaloa,Cabbage,30000
1/6/24,Batticaloa,Tomatoes,75500
1/6/24,Batticaloa,Potatoes,54500
1/6/24,Batticaloa,Brinjals,88250
1/6/24,Batticaloa,Pumpkins,28750
1/6/24,Batticaloa,Spinach,55250
1/6/24,Jaffna,Carrots,53000
1/6/24,Jaffna,Beans,69500
1/6/24,Jaffna,Cabbage,95250
1/6/24,Jaffna,Tomatoes,115000
1/6/24,Jaffna,Potatoes,44250
1/6/24,Jaffna,Brinjals,76000
1/6/24,Jaffna,Pumpkins,114500
1/6/24,Jaffna,Spinach,97500
1/7/24,Colombo,Carrots,69300
1/7/24,Colombo,Beans,351900
1/7/24,Colombo,Cabbage,90000
1/7/24,Colombo,Tomatoes,368100
1/7/24,Colombo,Potatoes,225900
1/7/24,Colombo,Brinjals,442800
1/7/24,Colombo,Pumpkins,376200
1/7/24,Colombo,Spinach,279900
1/7/24,Kandy,Carrots,184800
1/7/24,Kandy,Beans,63000
1/7/24,Kandy,Cabbage,41400
1/7/24,Kandy,Tomatoes,243000
1/7/24,Kandy,Potatoes,67200
1/7/24,Kandy,Brinjals,276000
1/7/24,Kandy,Pumpkins,111000
1/7/24,Kandy,Spinach,238800
1/7/24,Batticaloa,Carrots,113500
1/7/24,Batticaloa,Beans,29250
1/7/24,Batticaloa,Cabbage,30500
1/7/24,Batticaloa,Tomatoes,121000
1/7/24,Batticaloa,Potatoes,124250
1/7/24,Batticaloa,Brinjals,119250
1/7/24,Batticaloa,Pumpkins,59000
1/7/24,Batticaloa,Spinach,18500
1/7/24,Jaffna,Carrots,97000
1/7/24,Jaffna,Beans,17750
1/7/24,Jaffna,Cabbage,38250
1/7/24,Jaffna,Tomatoes,69500
1/7/24,Jaffna,Potatoes,112250
1/7/24,Jaffna,Brinjals,89750
1/7/24,Jaffna,Pumpkins,116250
1/7/24,Jaffna,Spinach,56750
1/8/24,Colombo,Carrots,318600
1/8/24,Colombo,Beans,317700
1/8/24,Colombo,Cabbage,251100
1/8/24,Colombo,Tomatoes,259200
1/8/24,Colombo,Potatoes,444600
1/8/24,Colombo,Brinjals,310500
1/8/24,Colombo,Pumpkins,148500
1/8/24,Colombo,Spinach,339300
1/8/24,Kandy,Carrots,231600
1/8/24,Kandy,Beans,157200
1/8/24,Kandy,Cabbage,229800
1/8/24,Kandy,Tomatoes,46200
1/8/24,Kandy,Potatoes,58800
1/8/24,Kandy,Brinjals,138600
1/8/24,Kandy,Pumpkins,174000
1/8/24,Kandy,Spinach,227400
1/8/24,Batticaloa,Carrots,89500
1/8/24,Batticaloa,Beans,66250
1/8/24,Batticaloa,Cabbage,30250
1/8/24,Batticaloa,Tomatoes,84750
1/8/24,Batticaloa,Potatoes,118500
1/8/24,Batticaloa,Brinjals,65750
1/8/24,Batticaloa,Pumpkins,30500
1/8/24,Batticaloa,Spinach,59500
1/8/24,Jaffna,Carrots,57000
1/8/24,Jaffna,Beans,110000
1/8/24,Jaffna,Cabbage,98750
1/8/24,Jaffna,Tomatoes,86000
1/8/24,Jaffna,Potatoes,74250
1/8/24,Jaffna,Brinjals,34500
1/8/24,Jaffna,Pumpkins,113750
1/8/24,Jaffna,Spinach,25500
1/9/24,Colombo,Carrots,116100
1/9/24,Colombo,Beans,270000
1/9/24,Colombo,Cabbage,265500
1/9/24,Colombo,Tomatoes,448200
1/9/24,Colombo,Potatoes,446400
1/9/24,Colombo,Brinjals,277200
1/9/24,Colombo,Pumpkins,420300
1/9/24,Colombo,Spinach,299700
1/9/24,Kandy,Carrots,135600
1/9/24,Kandy,Beans,54000
1/9/24,Kandy,Cabbage,179400
1/9/24,Kandy,Tomatoes,181800
1/9/24,Kandy,Potatoes,175200
1/9/24,Kandy,Brinjals,145800
1/9/24,Kandy,Pumpkins,102600
1/9/24,Kandy,Spinach,280200
1/9/24,Batticaloa,Carrots,39000
1/9/24,Batticaloa,Beans,68000
1/9/24,Batticaloa,Cabbage,52750
1/9/24,Batticaloa,Tomatoes,73250
1/9/24,Batticaloa,Potatoes,73250
1/9/24,Batticaloa,Brinjals,78500
1/9/24,Batticaloa,Pumpkins,104750
1/9/24,Batticaloa,Spinach,111750
1/9/24,Jaffna,Carrots,24000
1/9/24,Jaffna,Beans,16250
1/9/24,Jaffna,Cabbage,40500
1/9/24,Jaffna,Tomatoes,106500
1/9/24,Jaffna,Potatoes,37250
1/9/24,Jaffna,Brinjals,31250
1/9/24,Jaffna,Pumpkins,117000
1/9/24,Jaffna,Spinach,88250
1/10/24,Colombo,Carrots,207000
1/10/24,Colombo,Beans,72900
1/10/24,Colombo,Cabbage,110700
1/10/24,Colombo,Tomatoes,181800
1/10/24,Colombo,Potatoes,432000
1/10/24,Colombo,Brinjals,367200
1/10/24,Colombo,Pumpkins,419400
1/10/24,Colombo,Spinach,297900
1/10/24,Kandy,Carrots,45600
1/10/24,Kandy,Beans,115800
1/10/24,Kandy,Cabbage,71400
1/10/24,Kandy,Tomatoes,113400
1/10/24,Kandy,Potatoes,69600
1/10/24,Kandy,Brinjals,121200
1/10/24,Kandy,Pumpkins,283800
1/10/24,Kandy,Spinach,237600
1/10/24,Batticaloa,Carrots,81500
1/10/24,Batticaloa,Beans,30250
1/10/24,Batticaloa,Cabbage,29750
1/10/24,Batticaloa,Tomatoes,25000
1/10/24,Batticaloa,Potatoes,54500
1/10/24,Batticaloa,Brinjals,62750
1/10/24,Batticaloa,Pumpkins,58500
1/10/24,Batticaloa,Spinach,30750
1/10/24,Jaffna,Carrots,32500
1/10/24,Jaffna,Beans,71500
1/10/24,Jaffna,Cabbage,26000
1/10/24,Jaffna,Tomatoes,93500
1/10/24,Jaffna,Potatoes,113000
1/10/24,Jaffna,Brinjals,101000
1/10/24,Jaffna,Pumpkins,59000
1/10/24,Jaffna,Spinach,95000
1/11/24,Colombo,Carrots,185400
1/11/24,Colombo,Beans,345600
1/11/24,Colombo,Cabbage,225000
1/11/24,Colombo,Tomatoes,329400
1/11/24,Colombo,Potatoes,189900
1/11/24,Colombo,Brinjals,62100
1/11/24,Colombo,Pumpkins,216900
1/11/24,Colombo,Spinach,206100
1/11/24,Kandy,Carrots,167400
1/11/24,Kandy,Beans,141000
1/11/24,Kandy,Cabbage,141000
1/11/24,Kandy,Tomatoes,244200
1/11/24,Kandy,Potatoes,202200
1/11/24,Kandy,Brinjals,145200
1/11/24,Kandy,Pumpkins,150600
1/11/24,Kandy,Spinach,235800
1/11/24,Batticaloa,Carrots,93500
1/11/24,Batticaloa,Beans,86250
1/11/24,Batticaloa,Cabbage,80750
1/11/24,Batticaloa,Tomatoes,75500
1/11/24,Batticaloa,Potatoes,101750
1/11/24,Batticaloa,Brinjals,87000
1/11/24,Batticaloa,Pumpkins,120000
1/11/24,Batticaloa,Spinach,26750
1/11/24,Jaffna,Carrots,113750
1/11/24,Jaffna,Beans,61000
1/11/24,Jaffna,Cabbage,30750
1/11/24,Jaffna,Tomatoes,32750
1/11/24,Jaffna,Potatoes,116750
1/11/24,Jaffna,Brinjals,15500
1/11/24,Jaffna,Pumpkins,50000
1/11/24,Jaffna,Spinach,58500
1/12/24,Colombo,Carrots,48600
1/12/24,Colombo,Beans,350100
1/12/24,Colombo,Cabbage,189900
1/12/24,Colombo,Tomatoes,297900
1/12/24,Colombo,Potatoes,360000
1/12/24,Colombo,Brinjals,168300
1/12/24,Colombo,Pumpkins,306900
1/12/24,Colombo,Spinach,368100
1/12/24,Kandy,Carrots,63600
1/12/24,Kandy,Beans,201600
1/12/24,Kandy,Cabbage,207000
1/12/24,Kandy,Tomatoes,107400
1/12/24,Kandy,Potatoes,274800
1/12/24,Kandy,Brinjals,124200
1/12/24,Kandy,Pumpkins,165600
1/12/24,Kandy,Spinach,289200
1/12/24,Batticaloa,Carrots,85000
1/12/24,Batticaloa,Beans,21250
1/12/24,Batticaloa,Cabbage,12750
1/12/24,Batticaloa,Tomatoes,47250
1/12/24,Batticaloa,Potatoes,89500
1/12/24,Batticaloa,Brinjals,79750
1/12/24,Batticaloa,Pumpkins,44250
1/12/24,Batticaloa,Spinach,50750
1/12/24,Jaffna,Carrots,124500
1/12/24,Jaffna,Beans,19750
1/12/24,Jaffna,Cabbage,88250
1/12/24,Jaffna,Tomatoes,56000
1/12/24,Jaffna,Potatoes,47000
1/12/24,Jaffna,Brinjals,34000
1/12/24,Jaffna,Pumpkins,110750
1/12/24,Jaffna,Spinach,107750
1/13/24,Colombo,Carrots,210600
1/13/24,Colombo,Beans,53100
1/13/24,Colombo,Cabbage,231300
1/13/24,Colombo,Tomatoes,252000
1/13/24,Colombo,Potatoes,176400
1/13/24,Colombo,Brinjals,88200
1/13/24,Colombo,Pumpkins,245700
1/13/24,Colombo,Spinach,178200
1/13/24,Kandy,Carrots,253200
1/13/24,Kandy,Beans,274200
1/13/24,Kandy,Cabbage,269400
1/13/24,Kandy,Tomatoes,151200
1/13/24,Kandy,Potatoes,162000
1/13/24,Kandy,Brinjals,181200
1/13/24,Kandy,Pumpkins,124200
1/13/24,Kandy,Spinach,189600
1/13/24,Batticaloa,Carrots,27250
1/13/24,Batticaloa,Beans,69750
1/13/24,Batticaloa,Cabbage,25000
1/13/24,Batticaloa,Tomatoes,108000
1/13/24,Batticaloa,Potatoes,82500
1/13/24,Batticaloa,Brinjals,76250
1/13/24,Batticaloa,Pumpkins,87000
1/13/24,Batticaloa,Spinach,44500
1/13/24,Jaffna,Carrots,96500
1/13/24,Jaffna,Beans,124250
1/13/24,Jaffna,Cabbage,30250
1/13/24,Jaffna,Tomatoes,65250
1/13/24,Jaffna,Potatoes,53250
1/13/24,Jaffna,Brinjals,112750
1/13/24,Jaffna,Pumpkins,76250
1/13/24,Jaffna,Spinach,86750
1/14/24,Colombo,Carrots,199800
1/14/24,Colombo,Beans,250200
1/14/24,Colombo,Cabbage,348300
1/14/24,Colombo,Tomatoes,278100
1/14/24,Colombo,Potatoes,76500
1/14/24,Colombo,Brinjals,370800
1/14/24,Colombo,Pumpkins,125100
1/14/24,Colombo,Spinach,71100
1/14/24,Kandy,Carrots,211800
1/14/24,Kandy,Beans,269400
1/14/24,Kandy,Cabbage,75600
1/14/24,Kandy,Tomatoes,91200
1/14/24,Kandy,Potatoes,189000
1/14/24,Kandy,Brinjals,209400
1/14/24,Kandy,Pumpkins,138600
1/14/24,Kandy,Spinach,189000
1/14/24,Batticaloa,Carrots,67500
1/14/24,Batticaloa,Beans,71000
1/14/24,Batticaloa,Cabbage,123000
1/14/24,Batticaloa,Tomatoes,65500
1/14/24,Batticaloa,Potatoes,77250
1/14/24,Batticaloa,Brinjals,22250
1/14/24,Batticaloa,Pumpkins,112750
1/14/24,Batticaloa,Spinach,62000
1/14/24,Jaffna,Carrots,87000
1/14/24,Jaffna,Beans,87750
1/14/24,Jaffna,Cabbage,21250
1/14/24,Jaffna,Tomatoes,64250
1/14/24,Jaffna,Potatoes,49250
1/14/24,Jaffna,Brinjals,45750
1/14/24,Jaffna,Pumpkins,104500
1/14/24,Jaffna,Spinach,19000
1/15/24,Colombo,Carrots,428400
1/15/24,Colombo,Beans,142200
1/15/24,Colombo,Cabbage,106200
1/15/24,Colombo,Tomatoes,84600
1/15/24,Colombo,Potatoes,128700
1/15/24,Colombo,Brinjals,316800
1/15/24,Colombo,Pumpkins,432000
1/15/24,Colombo,Spinach,202500
1/15/24,Kandy,Carrots,108600
1/15/24,Kandy,Beans,31200
1/15/24,Kandy,Cabbage,171000
1/15/24,Kandy,Tomatoes,192000
1/15/24,Kandy,Potatoes,153600
1/15/24,Kandy,Brinjals,42600
1/15/24,Kandy,Pumpkins,55800
1/15/24,Kandy,Spinach,184800
1/15/24,Batticaloa,Carrots,87750
1/15/24,Batticaloa,Beans,102000
1/15/24,Batticaloa,Cabbage,124500
1/15/24,Batticaloa,Tomatoes,28750
1/15/24,Batticaloa,Potatoes,115750
1/15/24,Batticaloa,Brinjals,41250
1/15/24,Batticaloa,Pumpkins,100500
1/15/24,Batticaloa,Spinach,104250
1/15/24,Jaffna,Carrots,25750
1/15/24,Jaffna,Beans,93250
1/15/24,Jaffna,Cabbage,39250
1/15/24,Jaffna,Tomatoes,87250
1/15/24,Jaffna,Potatoes,93000
1/15/24,Jaffna,Brinjals,109750
1/15/24,Jaffna,Pumpkins,14750
1/15/24,Jaffna,Spinach,99250
1/16/24,Colombo,Carrots,398700
1/16/24,Colombo,Beans,178200
1/16/24,Colombo,Cabbage,378000
1/16/24,Colombo,Tomatoes,178200
1/16/24,Colombo,Potatoes,291600
1/16/24,Colombo,Brinjals,169200
1/16/24,Colombo,Pumpkins,172800
1/16/24,Colombo,Spinach,356400
1/16/24,Kandy,Carrots,160800
1/16/24,Kandy,Beans,274200
1/16/24,Kandy,Cabbage,221400
1/16/24,Kandy,Tomatoes,262200
1/16/24,Kandy,Potatoes,61200
1/16/24,Kandy,Brinjals,198000
1/16/24,Kandy,Pumpkins,250800
1/16/24,Kandy,Spinach,242400
1/16/24,Batticaloa,Carrots,22250
1/16/24,Batticaloa,Beans,113000
1/16/24,Batticaloa,Cabbage,87250
1/16/24,Batticaloa,Tomatoes,30000
1/16/24,Batticaloa,Potatoes,53750
1/16/24,Batticaloa,Brinjals,116250
1/16/24,Batticaloa,Pumpkins,32500
1/16/24,Batticaloa,Spinach,30250
1/16/24,Jaffna,Carrots,36500
1/16/24,Jaffna,Beans,30750
1/16/24,Jaffna,Cabbage,78750
1/16/24,Jaffna,Tomatoes,44750
1/16/24,Jaffna,Potatoes,56500
1/16/24,Jaffna,Brinjals,53500
1/16/24,Jaffna,Pumpkins,39750
1/16/24,Jaffna,Spinach,94750
1/17/24,Colombo,Carrots,320400
1/17/24,Colombo,Beans,286200
1/17/24,Colombo,Cabbage,354600
1/17/24,Colombo,Tomatoes,81900
1/17/24,Colombo,Potatoes,433800
1/17/24,Colombo,Brinjals,95400
1/17/24,Colombo,Pumpkins,391500
1/17/24,Colombo,Spinach,301500
1/17/24,Kandy,Carrots,232200
1/17/24,Kandy,Beans,249600
1/17/24,Kandy,Cabbage,76800
1/17/24,Kandy,Tomatoes,51600
1/17/24,Kandy,Potatoes,264000
1/17/24,Kandy,Brinjals,157800
1/17/24,Kandy,Pumpkins,149400
1/17/24,Kandy,Spinach,79800
1/17/24,Batticaloa,Carrots,95750
1/17/24,Batticaloa,Beans,35000
1/17/24,Batticaloa,Cabbage,37500
1/17/24,Batticaloa,Tomatoes,113250
1/17/24,Batticaloa,Potatoes,48000
1/17/24,Batticaloa,Brinjals,68500
1/17/24,Batticaloa,Pumpkins,86250
1/17/24,Batticaloa,Spinach,112750
1/17/24,Jaffna,Carrots,99250
1/17/24,Jaffna,Beans,71250
1/17/24,Jaffna,Cabbage,100750
1/17/24,Jaffna,Tomatoes,45750
1/17/24,Jaffna,Potatoes,122500
1/17/24,Jaffna,Brinjals,85750
1/17/24,Jaffna,Pumpkins,80250
1/17/24,Jaffna,Spinach,21750
1/18/24,Colombo,Carrots,432900
1/18/24,Colombo,Beans,58500
1/18/24,Colombo,Cabbage,310500
1/18/24,Colombo,Tomatoes,226800
1/18/24,Colombo,Potatoes,243000
1/18/24,Colombo,Brinjals,371700
1/18/24,Colombo,Pumpkins,434700
1/18/24,Colombo,Spinach,418500
1/18/24,Kandy,Carrots,192000
1/18/24,Kandy,Beans,263400
1/18/24,Kandy,Cabbage,126600
1/18/24,Kandy,Tomatoes,168600
1/18/24,Kandy,Potatoes,184800
1/18/24,Kandy,Brinjals,140400
1/18/24,Kandy,Pumpkins,234600
1/18/24,Kandy,Spinach,136800
1/18/24,Batticaloa,Carrots,62250
1/18/24,Batticaloa,Beans,45500
1/18/24,Batticaloa,Cabbage,113000
1/18/24,Batticaloa,Tomatoes,99500
1/18/24,Batticaloa,Potatoes,65250
1/18/24,Batticaloa,Brinjals,42000
1/18/24,Batticaloa,Pumpkins,94500
1/18/24,Batticaloa,Spinach,45000
1/18/24,Jaffna,Carrots,41500
1/18/24,Jaffna,Beans,108500
1/18/24,Jaffna,Cabbage,47250
1/18/24,Jaffna,Tomatoes,90000
1/18/24,Jaffna,Potatoes,42000
1/18/24,Jaffna,Brinjals,117000
1/18/24,Jaffna,Pumpkins,28500
1/18/24,Jaffna,Spinach,75250
1/19/24,Colombo,Carrots,283500
1/19/24,Colombo,Beans,339300
1/19/24,Colombo,Cabbage,300600
1/19/24,Colombo,Tomatoes,444600
1/19/24,Colombo,Potatoes,50400
1/19/24,Colombo,Brinjals,182700
1/19/24,Colombo,Pumpkins,400500
1/19/24,Colombo,Spinach,99900
1/19/24,Kandy,Carrots,180600
1/19/24,Kandy,Beans,223800
1/19/24,Kandy,Cabbage,201600
1/19/24,Kandy,Tomatoes,196200
1/19/24,Kandy,Potatoes,225600
1/19/24,Kandy,Brinjals,279000
1/19/24,Kandy,Pumpkins,211800
1/19/24,Kandy,Spinach,73800
1/19/24,Batticaloa,Carrots,102250
1/19/24,Batticaloa,Beans,40750
1/19/24,Batticaloa,Cabbage,124750
1/19/24,Batticaloa,Tomatoes,57750
1/19/24,Batticaloa,Potatoes,63500
1/19/24,Batticaloa,Brinjals,99250
1/19/24,Batticaloa,Pumpkins,97500
1/19/24,Batticaloa,Spinach,91250
1/19/24,Jaffna,Carrots,58000
1/19/24,Jaffna,Beans,55750
1/19/24,Jaffna,Cabbage,32500
1/19/24,Jaffna,Tomatoes,22250
1/19/24,Jaffna,Potatoes,20000
1/19/24,Jaffna,Brinjals,13500
1/19/24,Jaffna,Pumpkins,40500
1/19/24,Jaffna,Spinach,37000
1/20/24,Colombo,Carrots,229500
1/20/24,Colombo,Beans,171900
1/20/24,Colombo,Cabbage,428400
1/20/24,Colombo,Tomatoes,404100
1/20/24,Colombo,Potatoes,132300
1/20/24,Colombo,Brinjals,345600
1/20/24,Colombo,Pumpkins,220500
1/20/24,Colombo,Spinach,180000
1/20/24,Kandy,Carrots,87600
1/20/24,Kandy,Beans,244800
1/20/24,Kandy,Cabbage,158400
1/20/24,Kandy,Tomatoes,82800
1/20/24,Kandy,Potatoes,106200
1/20/24,Kandy,Brinjals,111000
1/20/24,Kandy,Pumpkins,56400
1/20/24,Kandy,Spinach,57600
1/20/24,Batticaloa,Carrots,25000
1/20/24,Batticaloa,Beans,43250
1/20/24,Batticaloa,Cabbage,78500
1/20/24,Batticaloa,Tomatoes,90500
1/20/24,Batticaloa,Potatoes,110250
1/20/24,Batticaloa,Brinjals,118000
1/20/24,Batticaloa,Pumpkins,106750
1/20/24,Batticaloa,Spinach,86250
1/20/24,Jaffna,Carrots,80500
1/20/24,Jaffna,Beans,57750
1/20/24,Jaffna,Cabbage,99750
1/20/24,Jaffna,Tomatoes,22500
1/20/24,Jaffna,Potatoes,55750
1/20/24,Jaffna,Brinjals,58250
1/20/24,Jaffna,Pumpkins,13750
1/20/24,Jaffna,Spinach,94250
1/21/24,Colombo,Carrots,204300
1/21/24,Colombo,Beans,233100
1/21/24,Colombo,Cabbage,339300
1/21/24,Colombo,Tomatoes,399600
1/21/24,Colombo,Potatoes,218700
1/21/24,Colombo,Brinjals,180900
1/21/24,Colombo,Pumpkins,194400
1/21/24,Colombo,Spinach,296100
1/21/24,Kandy,Carrots,115200
1/21/24,Kandy,Beans,51600
1/21/24,Kandy,Cabbage,132600
1/21/24,Kandy,Tomatoes,180000
1/21/24,Kandy,Potatoes,95400
1/21/24,Kandy,Brinjals,131400
1/21/24,Kandy,Pumpkins,163800
1/21/24,Kandy,Spinach,232200
1/21/24,Batticaloa,Carrots,116750
1/21/24,Batticaloa,Beans,62750
1/21/24,Batticaloa,Cabbage,30750
1/21/24,Batticaloa,Tomatoes,80500
1/21/24,Batticaloa,Potatoes,88500
1/21/24,Batticaloa,Brinjals,82500
1/21/24,Batticaloa,Pumpkins,78750
1/21/24,Batticaloa,Spinach,27000
1/21/24,Jaffna,Carrots,23000
1/21/24,Jaffna,Beans,123250
1/21/24,Jaffna,Cabbage,105000
1/21/24,Jaffna,Tomatoes,72250
1/21/24,Jaffna,Potatoes,37500
1/21/24,Jaffna,Brinjals,17000
1/21/24,Jaffna,Pumpkins,87750
1/21/24,Jaffna,Spinach,73750
1/22/24,Colombo,Carrots,346500
1/22/24,Colombo,Beans,126000
1/22/24,Colombo,Cabbage,326700
1/22/24,Colombo,Tomatoes,377100
1/22/24,Colombo,Potatoes,353700
1/22/24,Colombo,Brinjals,163800
1/22/24,Colombo,Pumpkins,178200
1/22/24,Colombo,Spinach,246600
1/22/24,Kandy,Carrots,252600
